algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,127,0.016871929168701172,59.639106816570006,0.8445770002599602,16,0.1920744180887923
FW,diminishing,128,0.01699686050415039,59.638944185316134,0.6376986485692271,16,0.19207389431663813
FW,diminishing,129,0.01712179183959961,59.638042769044866,1.2459724791708453,16,0.19207099120465335
FW,diminishing,130,0.01724386215209961,59.637805970380526,0.7566966709047449,16,0.19207022856805323
FW,diminishing,131,0.017349958419799805,59.63694171623595,0.8820920756971731,16,0.19206744514085652
FW,diminishing,132,0.017474889755249023,59.63488996720848,1.53563435210841,16,0.19206083725348946
FW,diminishing,133,0.017600059509277344,59.6339891803873,0.7527295509017122,16,0.19205793616871916
FW,diminishing,134,0.01773691177368164,59.63341190869694,0.7872841638495345,16,0.19205607700063426
FW,diminishing,135,0.01786184310913086,59.632387659988794,0.8464185646127902,16,0.1920527782930396
FW,diminishing,136,0.01798391342163086,59.631642083158845,0.991809477247692,16,0.19205037707941658
FW,diminishing,137,0.018121004104614258,59.63155981235561,0.5202921939984577,16,0.1920501121170873
FW,diminishing,138,0.018243789672851562,59.63070940026757,0.7915768169325048,16,0.19204737326978283
FW,diminishing,139,0.018368005752563477,59.62930288164138,1.0474828881092293,16,0.19204284341913488
FW,diminishing,140,0.01849079132080078,59.62850066326639,0.5860798260440845,16,0.19204025978507694
FW,diminishing,141,0.018613100051879883,59.628420526148275,0.7747821841458631,16,0.1920400016945194
FW,diminishing,142,0.01873493194580078,59.62758504621394,0.7786718159569759,16,0.1920373109378871
FW,diminishing,143,0.018857955932617188,59.62672793962028,0.8809703355985405,16,0.19203455053017804
FW,diminishing,144,0.0189969539642334,59.62622336846912,0.7468631789234408,16,0.19203292550231602
FW,diminishing,145,0.01911783218383789,59.62517417642314,0.6547710195130563,16,0.19202954646191026
FW,diminishing,146,0.019238948822021484,59.62494540571291,0.5317646788710064,16,0.1920288096802348
FW,diminishing,147,0.01937699317932129,59.62467255776237,0.5942669367924651,16,0.192027930942874
FW,diminishing,148,0.019499778747558594,59.62439086834629,0.6004567188117917,16,0.19202702373058386
FW,diminishing,149,0.019621849060058594,59.62428207700683,0.907836402586085,16,0.19202667335589962
FW,diminishing,150,0.019742965698242188,59.62390397876783,0.8280626339453008,16,0.19202545564820556
FW,diminishing,151,0.01986384391784668,59.622852780610984,0.8282467890783707,16,0.1920220701468953
FW,diminishing,152,0.019984960556030273,59.62195029561822,0.8733286557102318,16,0.19201916359297333
FW,diminishing,153,0.02009296417236328,59.62184011605704,0.6740992341625969,16,0.19201880874736565
FW,diminishing,154,0.02021479606628418,59.62028645338237,1.126030495234545,16,0.19201380500284176
FW,diminishing,155,0.020350933074951172,59.61990503541509,0.5310210600722627,16,0.19201257660359125
FW,diminishing,156,0.020471811294555664,59.619378978619615,0.6562514487844027,16,0.19201088237880715
FW,diminishing,157,0.020593881607055664,59.61877285920362,0.7267622808154073,16,0.19200893030339328
FW,diminishing,158,0.020730972290039062,59.618590303975324,0.5291342587969012,16,0.19200834236384967
FW,diminishing,159,0.020851850509643555,59.6178450808453,0.7210539213207028,16,0.19200594228935683
FW,diminishing,160,0.020987987518310547,59.6172319210307,0.8039210282681779,16,0.19200396753955137
FW,diminishing,161,0.021107912063598633,59.6167274545806,0.5859914597719111,16,0.1920023428488908
FW,diminishing,162,0.02124500274658203,59.616586932447454,0.4841966724136313,16,0.1920018902816343
FW,diminishing,163,0.021397829055786133,59.61647329857469,0.31384685843010374,16,0.1920015243110296
FW,diminishing,164,0.021545886993408203,59.61626788308001,0.36916980494203244,16,0.19200086274743966
FW,diminishing,165,0.021682024002075195,59.616032676174456,0.5521733749163076,16,0.19200010523727684
FW,diminishing,166,0.021826744079589844,59.61582514431685,0.4116950539706181,16,0.19199943685770324
FW,diminishing,167,0.02195000648498535,59.61511666887944,0.5403840092780356,16,0.19199715513326712
FW,diminishing,168,0.022084951400756836,59.61472154729208,0.537865271064689,16,0.1919958825999745
FW,diminishing,169,0.022223949432373047,59.61440656406091,0.4415245345382175,16,0.19199486816122677
FW,diminishing,170,0.02236175537109375,59.61407302421155,0.5441770206595464,16,0.19199379395881336
FW,diminishing,171,0.022516965866088867,59.61396375815532,0.30626665034115774,16,0.19199344205525062
FW,diminishing,172,0.022642850875854492,59.613944829131,0.4509729130701814,16,0.19199338109220934
FW,diminishing,173,0.022769927978515625,59.613149179684925,0.7637905859351264,16,0.19199081861412215
FW,diminishing,174,0.022909879684448242,59.612910143891874,0.5431262548373113,16,0.19199004877259862
FW,diminishing,175,0.023033857345581055,59.612698702374075,0.5118789777136072,16,0.1919893678015268
FW,diminishing,176,0.023154020309448242,59.61200164962175,0.7629588525228499,16,0.19198712286512642
FW,diminishing,177,0.023277759552001953,59.61182931834409,0.3452684387106686,16,0.19198656785296003
FW,diminishing,178,0.02339792251586914,59.6114294524247,0.6528026221252219,16,0.19198528004001514
FW,diminishing,179,0.023521900177001953,59.61135653867204,0.45360848860136826,16,0.19198504521311446
FW,diminishing,180,0.02364182472229004,59.61103288472799,0.8436155348598859,16,0.1919840028493655
FW,diminishing,181,0.023762941360473633,59.61049140712478,0.7904330801008399,16,0.19198225896014423
FW,diminishing,182,0.023886919021606445,59.60988505461025,0.643905655464728,16,0.1919803061340105
FW,diminishing,183,0.02400803565979004,59.60909647307089,0.6634111316468108,16,0.19197776641890787
FW,diminishing,184,0.024129867553710938,59.60864114919262,0.7474042332338371,16,0.19197629999739974
FW,diminishing,185,0.02425098419189453,59.60800010008734,0.5116485573782796,16,0.19197423542701236
FW,diminishing,186,0.024386882781982422,59.60782814804409,0.47925174398879733,16,0.19197368163621287
FW,diminishing,187,0.024522781372070312,59.607631257624426,0.3532865149330675,16,0.19197304752858108
FW,diminishing,188,0.02466893196105957,59.60728810635574,0.5377569146396581,16,0.19197194237151607
FW,diminishing,189,0.024822711944580078,59.60722075719491,0.27544164880483635,16,0.19197172546600616
FW,diminishing,190,0.024957895278930664,59.60702797323688,0.3492966995282032,16,0.19197110458369365
FW,diminishing,191,0.02507781982421875,59.606906202571416,0.48635354875546,16,0.1919707124076374
FW,diminishing,192,0.025198936462402344,59.606406809762646,0.592720591306076,16,0.1919691040572066
FW,diminishing,193,0.025320053100585938,59.606287446892125,0.5159229647884729,16,0.19196871963572343
FW,diminishing,194,0.025460004806518555,59.60617525924424,0.42440800277690016,16,0.19196835832284778
FW,diminishing,195,0.02557969093322754,59.605917011249545,0.49438268315614664,16,0.19196752660627872
FW,diminishing,196,0.025700807571411133,59.60546119337626,0.7277431693952252,16,0.19196605859380436
FW,diminishing,197,0.02582383155822754,59.60505755230986,0.5057548568865187,16,0.19196475862257603
FW,diminishing,198,0.025943756103515625,59.604549521354286,0.4573084304194026,16,0.19196312245202668
FW,diminishing,199,0.026079654693603516,59.60425568980532,0.5645003832654538,16,0.1919621761346387
FW,diminishing,200,0.0262148380279541,59.60415034374181,0.403303856152732,16,0.19196183685585122
FW,diminishing,201,0.026336669921875,59.60402881573245,0.43021536948083394,16,0.19196144546129612
FW,diminishing,202,0.026456832885742188,59.603092698101136,0.831320074428298,16,0.1919584305896977
FW,diminishing,203,0.02657794952392578,59.60277026283568,0.37991306558674154,16,0.19195739215083957
FW,diminishing,204,0.02672576904296875,59.60250128097909,0.5410886347283963,16,0.19195652586466697
FW,diminishing,205,0.026861906051635742,59.60242321635358,0.3831660213518404,16,0.19195627444880378
FW,diminishing,206,0.026997089385986328,59.602299837067356,0.34221572147136214,16,0.19195587709200437
FW,diminishing,207,0.027116775512695312,59.602079982569286,0.4619202434456895,16,0.19195516902598803
FW,diminishing,208,0.0272369384765625,59.6014713652816,0.659827712986214,16,0.19195320890589887
FW,diminishing,209,0.027359724044799805,59.601458374290786,0.3305553352398505,16,0.19195316706695906
FW,diminishing,210,0.02749180793762207,59.60140295037573,0.3881125659878464,16,0.19195298856803777
FW,diminishing,211,0.027615070343017578,59.60102252334915,0.6564657148005679,16,0.1919517633602227
FW,diminishing,212,0.027760982513427734,59.60079881441032,0.4997421207148278,16,0.19195104288054854
