Date,return_assets,return_capital,return_equity,return_invested_capital,return_common_equity,gross_margin,sga_margin,ebitda_margin,ebita_margin,ebit_margin,earning_co_margin,ni_margin,ni_norm_margin,ni_avail_excl_margin,lfcf_margin,ufcf_margin,cf_total_rev,asset_turns,fixed_asset_turns,ar_turns,inventory_turns,current_ratio,quick_ratio,days_sales_out,days_inventory_out,days_payable_out,cash_conversion,cfo_current_liab,total_debt_equity,total_debt_capital,lt_debt_equity,lt_debt_capital,total_liab_total_assets,ebit_int,ebitda_int,ebitda_capex_int,total_debt_ebitda,net_debt_ebitda,total_debt_ebitda_capex,net_debt_ebitda_capex,ebitda_excl_oper_leases_int,ebitda_excl_oper_leases_capex_int,total_debt_ebitda_excl_oper_leases,net_debt_ebitda_excl_oper_leases,total_debt_ebitda_excl_oper_leases_capex,net_debt_ebitda_excl_oper_leases_capex,total_rev_employee,z_score,capex_pct_rev,Ticker
2007-09-30,6.7119,10.3297,18.2394,7.977,18.1909,46.7265,15.7203,11.4545,10.072,9.3907,5.4014,5.3717,4.9632,5.3717,4.4334,5.4209,,1.14358,15.06994,5.28549,3.48739,1.9152,0.97675,69.05691,104.66229,43.05832,130.66088,0.31554,81.3586,44.8606,81.3586,44.8606,64.4541,5.94375,7.25,5.925,2.17845,1.89741,2.66561,2.32173,7.25,5.925,2.17845,1.89741,2.66561,2.32173,,3.12332,2.0934,ADS.DE
2007-12-31,6.9668,10.9591,18.9097,8.7767,18.8343,47.4026,16.555,10.4767,9.0397,9.0397,5.3888,5.35,4.7977,5.35,4.8125,5.8198,,1.23312,14.80805,7.16701,3.34796,1.58241,0.7717,50.92772,109.02149,53.71961,106.2296,0.29828,70.8965,41.485,64.7,37.8592,63.5555,5.60843,6.5,5.11446,1.99351,1.59407,2.53357,2.02591,6.5,5.11446,1.99351,1.59407,2.53357,2.02591,328.579,3.2663,2.2332,ADS.DE
2008-03-31,7.2139,11.135,20.5694,9.1889,20.5057,47.9869,16.4226,10.8745,9.4683,9.4683,5.7407,5.7021,5.1146,5.7021,6.9015,7.8586,,1.21905,15.43792,6.0678,3.46821,1.77874,0.86032,60.31826,105.52988,43.4464,122.40175,0.37824,85.4991,46.0913,85.4991,46.0913,66.0361,6.18239,7.10063,5.52201,2.16209,1.83614,2.78018,2.36105,7.10063,5.52201,2.16209,1.83614,2.78018,2.36105,,3.33627,2.4176,ADS.DE
2008-06-30,7.1961,11.3935,21.2773,9.1874,21.2504,48.6337,16.2334,11.0159,9.5591,9.5591,5.7888,5.7602,5.1604,5.7602,5.1332,6.1031,,1.20447,14.80338,6.30811,3.0636,1.71948,0.77293,58.02052,119.46716,57.08502,120.40265,0.29189,94.0174,48.4582,94.0174,48.4582,68.2221,6.15951,7.09816,5.49693,2.24114,1.95333,2.89397,2.52232,7.09816,5.49693,2.24114,1.95333,2.89397,2.52232,,3.21742,2.485,ADS.DE
2008-09-30,6.9047,10.5932,19.0194,8.601,19.0253,48.7458,16.0169,10.9253,9.441,9.441,5.7397,5.7209,5.0422,5.7209,0.0987,1.1145,,1.17017,14.38514,5.35867,3.20188,1.99482,0.96178,68.30036,114.30766,47.26634,135.34168,0.17277,87.5866,46.6912,87.5866,46.6912,64.9005,5.80925,6.72254,5.02312,2.49957,2.23044,3.34522,2.98504,6.72254,5.02312,2.49957,2.23044,3.34522,2.98504,,3.1017,2.7618,ADS.DE
2008-12-31,7.3146,11.6932,20.0186,9.7216,20.0343,48.6711,13.9642,11.7881,10.2416,9.6768,5.9635,5.9449,5.0687,5.9449,0.2025,1.2327,,1.20943,13.60076,7.00551,3.05905,1.35364,0.61564,52.2443,119.64467,64.01413,107.87484,0.13635,76.0588,43.2008,52.5588,29.8529,64.3344,5.87079,7.15169,5.3764,2.03142,1.69521,2.70219,2.25496,7.15169,5.3764,2.03142,1.69521,2.70219,2.25496,277.025,2.87753,2.9261,ADS.DE
2009-03-31,5.5912,8.4845,14.9725,6.2821,15.0125,47.708,16.4574,9.9116,8.1822,7.615,4.4444,4.4444,3.6901,4.4444,-2.8138,-1.6748,,1.17477,13.61392,6.09521,3.12966,1.62722,0.81916,59.883,116.6259,46.24185,130.26704,-0.00412,91.7847,47.8581,71.1331,37.0901,64.3578,4.17857,5.43878,3.83163,3.0394,2.45779,4.31425,3.48868,5.43878,3.83163,3.0394,2.45779,4.31425,3.48868,,2.6892,2.9288,ADS.DE
2009-06-30,4.7205,7.3726,12.4012,4.6977,12.4347,46.5157,18.8569,8.7924,6.9591,6.3885,3.4515,3.4515,2.8996,3.4515,-0.5226,0.5881,,1.18224,13.42247,6.34481,2.97271,1.53989,0.72765,57.52729,122.78345,60.94551,119.36522,0.03653,95.0829,48.7397,76.1979,39.0592,66.0571,3.59474,4.94737,3.36316,3.22979,2.73936,4.75117,4.02973,4.94737,3.36316,3.22979,2.73936,4.75117,4.02973,,2.62479,2.8154,ADS.DE
2009-09-30,3.7511,5.7149,8.4648,3.0041,8.5184,45.4415,21.4918,7.8879,5.8873,5.3062,2.6579,2.6674,2.2839,2.6674,7.6236,8.6893,,1.13108,12.80903,5.35425,3.30658,1.4974,0.80579,68.16996,110.38586,54.64817,123.90765,0.2339,82.0042,45.0562,63.7335,35.0176,64.0527,3.11173,4.6257,3.2514,3.24155,2.60749,4.61168,3.70962,4.6257,3.2514,3.24155,2.60749,4.61168,3.70962,,2.62916,2.3435,ADS.DE
2009-12-31,3.6668,5.8471,6.8283,2.5641,6.8464,45.3906,13.2549,7.1091,5.2018,5.2018,2.36,2.36,2.348,2.36,9.6546,10.4855,,1.12788,12.90367,6.80052,3.27121,1.58145,0.88364,53.67216,111.57941,84.56357,80.688,0.42243,47.1927,32.0618,41.8697,28.4454,57.4535,3.91304,5.34783,3.93478,2.41463,1.18428,3.28177,1.60958,5.34783,3.93478,2.41463,1.18428,3.28177,1.60958,301.449,2.81156,1.8784,ADS.DE
